GENE,COMMON,gal1RGexp,gal4RGexp,gal80Rexp,gal1RGsig,gal4RGsig,gal80Rsig
YHR051W,COX6,-0.034,0.111,-0.304,3.76E-01,1.56E-02,7.91E-06
YHR124W,NDT80,-0.09,0.007,-0.348,2.71E-01,9.64E-01,3.45E-01
YKL181W,PRS1,-0.167,-0.233,0.112,6.27E-03,7.89E-04,1.44E-01
YGR072W,UPF3,0.245,-0.471,0.787,4.10E-04,7.52E-04,1.37E-05
YHL020C,OPI1,0.174,-0.015,0.151,1.40E-04,7.19E-01,1.54E-02
YGR145W,YGR145W,0.387,-0.577,-0.088,5.38E-03,8.27E-03,7.64E-01
YGL041C,YGL041C,0.285,-0.086,0.103,4.46E-04,4.51E-01,7.03E-01
YGR218W,CRM1,-0.018,-0.001,-0.018,6.14E-01,9.79E-01,8.10E-01
YOR202W,HIS3,-0.432,-0.71,0.239,1.10E-02,1.80E-04,5.49E-03
YCR005C,CIT2,0.085,0.392,0.464,4.19E-02,1.53E-06,2.74E-06
YER187W,KHS1,0.159,0.139,-0.045,8.51E-04,4.18E-03,6.18E-01
YBR026C,YBR026C,0.276,0.189,0.291,3.63E-05,6.15E-04,1.24E-03
YMR244W,YMR244W,0.078,-0.239,-0.072,5.76E-01,3.55E-01,8.86E-01
YMR317W,YMR317W,-0.181,0.086,-0.453,5.95E-02,3.03E-01,7.60E-03
YAR047C,YAR047C,-0.234,-0.109,0.155,2.47E-02,4.96E-01,4.83E-01
YIR031C,DAL7,0.289,-0.161,1.085,3.04E-05,8.91E-02,2.52E-07
YDL177C,YDL177C,-0.002,-0.367,0.633,9.79E-01,1.43E-02,6.05E-03
YLR338W,YLR338W,-0.216,0.096,-0.238,2.15E-05,5.12E-02,9.33E-03
YGR073C,YGR073C,-0.125,-0.126,-0.051,5.56E-02,1.71E-01,7.89E-01
YGR146C,YGR146C,-0.189,-0.067,0.341,3.72E-03,2.89E-01,4.62E-03
YOR130C,ORT1,-0.025,-0.322,0.172,5.92E-01,6.14E-05,2.38E-02
YLR193C,YLR193C,0.124,0.057,-0.052,8.17E-03,2.31E-01,6.30E-01
YMR318C,YMR318C,0.068,-0.716,0.558,1.10E-01,1.50E-08,5.56E-08
YLR266C,YLR266C,-0.058,0.066,-0.136,1.31E-01,1.40E-01,6.50E-02
YGL114W,YGL114W,-0.009,-0.076,0.224,8.60E-01,2.32E-01,1.42E-01
YLR339C,YLR339C,-0.239,-0.072,-0.362,2.57E-06,2.60E-01,5.81E-06
YFL062W,COS4,-0.192,0.213,-0.561,3.45E-05,1.62E-04,3.31E-13
YJR010W,MET3,-0.253,-0.136,-0.017,2.92E-06,1.71E-02,8.57E-01
YHR052W,YHR052W,0.101,-0.324,0.126,1.40E-02,3.82E-05,1.96E-01
YKL182W,FAS1,-0.14,-0.183,-0.415,9.09E-04,1.19E-03,2.44E-08
YHR125W,YHR125W,-0.513,-0.052,-0.036,2.40E-04,1.01E-01,7.78E-01
YHL021C,YHL021C,-0.13,0.544,-0.757,4.44E-03,1.85E-06,6.02E-18
YGR219W,YGR219W,-0.07,-0.188,-0.206,1.67E-01,2.29E-02,1.59E-01
YGL042C,YGL042C,-0.075,-0.408,0.028,2.69E-01,3.03E-03,8.95E-01
YOR203W,YOR203W,-0.492,-0.561,0.359,6.49E-09,1.81E-05,1.87E-01
YCR006C,YCR006C,-0.067,0.055,0.41,4.06E-01,6.63E-01,8.10E-02
YER188W,YER188W,-0.322,-0.285,-0.089,4.04E-02,1.86E-01,7.21E-01
YMR172W,HOT1,0.162,-0.332,0.489,3.40E-02,1.31E-03,1.96E-03
YNL120C,YNL120C,-0.053,-0.8,0.428,5.64E-01,5.14E-04,7.52E-02
YBR027C,YBR027C,-0.21,-0.11,0.307,8.47E-03,4.27E-01,7.59E-02
YMR245W,YMR245W,0.095,-0.187,0.213,5.50E-02,3.41E-02,8.67E-02
YJR011C,YJR011C,-0.112,-0.545,0.142,1.86E-01,2.52E-02,6.59E-01
YIR032C,DAL3,0.181,-0.148,-0.004,8.14E-02,5.29E-01,1.00E+00
YHR053C,CUP1A,-0.656,-0.75,0.795,1.67E-04,8.46E-04,1.52E-10
YHR126C,YHR126C,-0.238,0.193,-0.071,2.37E-04,9.75E-04,5.56E-01
YPR110C,RPC40,-0.12,-0.339,-0.026,1.96E-03,1.27E-05,7.06E-01
YGR147C,NAT2,0.158,-0.074,0.295,7.18E-04,1.83E-01,7.18E-03
YOR131C,YOR131C,-0.037,-0.135,-0.113,3.44E-01,1.20E-02,1.29E-01
YAL016W,TPD3,0.053,0.198,-0.055,2.12E-01,6.90E-04,4.22E-01
YLR194C,YLR194C,0.046,-0.383,0.251,2.87E-01,1.47E-04,2.83E-02
YMR319C,FET4,-0.182,-0.327,-0.36,7.00E-04,1.10E-04,3.48E-07
YGL115W,SNF4,-0.111,0.112,-0.221,5.85E-03,1.12E-02,2.75E-03
YFL063W,YFL063W,0.128,-0.152,-0.001,6.70E-02,2.90E-01,1.00E+00
YDL178W,AIP2,-0.131,-0.091,-0.693,1.80E-03,7.78E-02,2.15E-12
YKL183W,YKL183W,-0.116,-0.151,-0.045,7.63E-03,2.51E-02,6.31E-01
YGR074W,SMD1,-0.074,-0.133,0.029,1.19E-01,8.22E-02,8.08E-01
YHL022C,SPO11,-0.402,-0.499,0.176,4.72E-04,1.19E-01,4.22E-01
YDR493W,YDR493W,0.062,-0.077,-0.204,3.18E-01,2.38E-01,1.61E-01
YOR204W,DED1,-0.033,-0.056,-0.91,3.99E-01,3.13E-01,8.35E-16
YCR007C,YCR007C,-0.019,0.003,0.387,7.67E-01,9.79E-01,5.62E-03
YFL064C,YFL064C,0.032,-0.011,-0.261,4.65E-01,8.21E-01,5.19E-03
YER189W,YER189W,0.211,0.082,-0.026,3.03E-05,8.04E-02,7.10E-01
YNL121C,TOM70,0.162,0.024,-0.514,1.22E-03,6.32E-01,3.14E-07
YBR028C,YBR028C,0.004,-0.323,0.219,9.32E-01,1.38E-04,1.31E-01
YMR173W,DDR48,-0.873,0.096,-0.692,1.49E-11,3.04E-01,3.53E-15
YMR246W,FAA4,-0.001,-0.499,0.6,9.79E-01,2.26E-05,1.27E-07
YJR012C,YJR012C,0.124,0.085,0.015,8.92E-02,3.42E-01,8.95E-01
YLR267W,BOP2,0.199,0.403,0.64,4.54E-04,2.43E-05,1.19E-05
YHR054C,YHR054C,-0.071,0.055,-0.015,9.88E-02,1.89E-01,8.47E-01
YGR075C,PRP38,-0.075,-0.227,0.081,1.84E-01,9.43E-03,6.20E-01
YGR148C,RPL24B,-0.202,-0.423,-0.126,9.95E-05,1.34E-06,3.88E-02
YOR205C,YOR205C,0.069,0.03,0.389,2.16E-01,7.81E-01,2.63E-02
YAL017W,YAL017W,-0.122,-0.019,-0.251,2.55E-03,7.02E-01,2.65E-04
YIL001W,YIL001W,-0.044,-0.096,-0.032,3.28E-01,1.66E-01,7.72E-01
YMR174C,PAI3,-0.07,-0.088,-0.19,6.67E-02,1.26E-01,3.17E-03
YLR195C,NMT1,-0.003,-0.316,-0.012,9.42E-01,5.12E-05,9.13E-01
YGL043W,DST1,0.156,-0.466,0.568,4.35E-03,2.94E-05,1.08E-04
YGL116W,CDC20,0.006,-0.066,0.294,9.20E-01,5.35E-01,3.90E-02
YOL100W,PKH2,-0.119,-0.049,0.16,6.35E-01,8.29E-01,4.71E-01
YLR287C-A,RPS30A,-0.289,-0.288,-0.095,6.12E-06,3.14E-05,9.16E-02
YDL179W,PCL9,0.189,0.012,-0.028,6.98E-04,8.34E-01,7.76E-01
YIR033W,MGA2,0.079,-0.142,0.051,1.27E-01,8.03E-03,5.17E-01
